#---|---  LSE ---|---- JK ----|-- DELTA ---|-- SD_LSE --|--- SD_J ---
  0 | 1.00026546 | 1.00026547 | 0.00000147 | 0.09963601 | 0.09963601
----|------------|------------|------------|------------|------------
  1 | 0.97027689 | 0.97028066 | 0.00037321 | 0.14020547 | 0.14020547
  2 | 0.97090242 | 0.97090574 | 0.00032880 | 0.14024422 | 0.14024422
  4 | 0.97206375 | 0.97206625 | 0.00024783 | 0.14032527 | 0.14032527
  6 | 0.97326219 | 0.97326396 | 0.00017523 | 0.14040585 | 0.14040585
  8 | 0.97446563 | 0.97446675 | 0.00011096 | 0.14047428 | 0.14047428
 11 | 0.97625825 | 0.97625855 | 0.00002932 | 0.14057056 | 0.14057056
 13 | 0.97745401 | 0.97745385 | 0.00001593 | 0.14065412 | 0.14065412
 16 | 0.97923823 | 0.97923751 | 0.00007106 | 0.14075109 | 0.14075109
 18 | 0.98048419 | 0.98048318 | 0.00009962 | 0.14080119 | 0.14080119
 21 | 0.98225656 | 0.98225523 | 0.00013197 | 0.14088476 | 0.14088476
 23 | 0.98347173 | 0.98347025 | 0.00014658 | 0.14093231 | 0.14093231
 26 | 0.98527599 | 0.98527438 | 0.00015947 | 0.14099782 | 0.14099782

